Statistic,Month,Product,UNIT,VALUE
Production of Dairy Products,2007M11,Butter,000 Tonnes,8.4
Production of Dairy Products,2007M12,Butter,000 Tonnes,4.6
Production of Dairy Products,2008M01,Butter,000 Tonnes,3.4
Production of Dairy Products,2008M02,Butter,000 Tonnes,5
Production of Dairy Products,2008M03,Butter,000 Tonnes,9.4
Production of Dairy Products,2008M04,Butter,000 Tonnes,14.2
Production of Dairy Products,2008M05,Butter,000 Tonnes,16.8
Production of Dairy Products,2008M06,Butter,000 Tonnes,15.4
Production of Dairy Products,2008M07,Butter,000 Tonnes,14.9
Production of Dairy Products,2008M08,Butter,000 Tonnes,13.4
Production of Dairy Products,2008M09,Butter,000 Tonnes,11.3
Production of Dairy Products,2008M10,Butter,000 Tonnes,10.6
Production of Dairy Products,2008M11,Butter,000 Tonnes,5
Production of Dairy Products,2008M12,Butter,000 Tonnes,4.7
Production of Dairy Products,2009M01,Butter,000 Tonnes,3.8
Production of Dairy Products,2009M02,Butter,000 Tonnes,6.4
Production of Dairy Products,2009M03,Butter,000 Tonnes,11.2
Production of Dairy Products,2009M04,Butter,000 Tonnes,13.7
Production of Dairy Products,2009M05,Butter,000 Tonnes,15.3
Production of Dairy Products,2009M06,Butter,000 Tonnes,15.6
Production of Dairy Products,2009M07,Butter,000 Tonnes,14.5
Production of Dairy Products,2009M08,Butter,000 Tonnes,10.7
Production of Dairy Products,2009M09,Butter,000 Tonnes,10.3
Production of Dairy Products,2009M10,Butter,000 Tonnes,8.1
Production of Dairy Products,2009M11,Butter,000 Tonnes,6.1
Production of Dairy Products,2009M12,Butter,000 Tonnes,4.9
Production of Dairy Products,2010M01,Butter,000 Tonnes,3.4
Production of Dairy Products,2010M02,Butter,000 Tonnes,5.7
Production of Dairy Products,2010M03,Butter,000 Tonnes,10.1
Production of Dairy Products,2010M04,Butter,000 Tonnes,12.9
Production of Dairy Products,2010M05,Butter,000 Tonnes,15
Production of Dairy Products,2010M06,Butter,000 Tonnes,16.8
Production of Dairy Products,2010M07,Butter,000 Tonnes,16
Production of Dairy Products,2010M08,Butter,000 Tonnes,14.7
Production of Dairy Products,2010M09,Butter,000 Tonnes,13.2
Production of Dairy Products,2010M10,Butter,000 Tonnes,11.5
Production of Dairy Products,2010M11,Butter,000 Tonnes,9.5
Production of Dairy Products,2010M12,Butter,000 Tonnes,6.4
Production of Dairy Products,2011M01,Butter,000 Tonnes,4
Production of Dairy Products,2011M02,Butter,000 Tonnes,5.8
Production of Dairy Products,2011M03,Butter,000 Tonnes,12.5
Production of Dairy Products,2011M04,Butter,000 Tonnes,14.9
Production of Dairy Products,2011M05,Butter,000 Tonnes,19
Production of Dairy Products,2011M06,Butter,000 Tonnes,18.5
Production of Dairy Products,2011M07,Butter,000 Tonnes,17
Production of Dairy Products,2011M08,Butter,000 Tonnes,15.6
Production of Dairy Products,2011M09,Butter,000 Tonnes,13.8
Production of Dairy Products,2011M10,Butter,000 Tonnes,11.4
Production of Dairy Products,2011M11,Butter,000 Tonnes,8.6
Production of Dairy Products,2011M12,Butter,000 Tonnes,4.9
Production of Dairy Products,2012M01,Butter,000 Tonnes,4
Production of Dairy Products,2012M02,Butter,000 Tonnes,7.4
Production of Dairy Products,2012M03,Butter,000 Tonnes,13.9
Production of Dairy Products,2012M04,Butter,000 Tonnes,16.9
Production of Dairy Products,2012M05,Butter,000 Tonnes,21
Production of Dairy Products,2012M06,Butter,000 Tonnes,19.4
Production of Dairy Products,2012M07,Butter,000 Tonnes,15.9
Production of Dairy Products,2012M08,Butter,000 Tonnes,14
Production of Dairy Products,2012M09,Butter,000 Tonnes,10.8
Production of Dairy Products,2012M10,Butter,000 Tonnes,10
Production of Dairy Products,2012M11,Butter,000 Tonnes,7.8
Production of Dairy Products,2012M12,Butter,000 Tonnes,4.1
Production of Dairy Products,2013M01,Butter,000 Tonnes,4
Production of Dairy Products,2013M02,Butter,000 Tonnes,6.3
Production of Dairy Products,2013M03,Butter,000 Tonnes,12.1
Production of Dairy Products,2013M04,Butter,000 Tonnes,16.6
Production of Dairy Products,2013M05,Butter,000 Tonnes,19.8
Production of Dairy Products,2013M06,Butter,000 Tonnes,17.6
Production of Dairy Products,2013M07,Butter,000 Tonnes,16.7
Production of Dairy Products,2013M08,Butter,000 Tonnes,15.4
Production of Dairy Products,2013M09,Butter,000 Tonnes,13.6
Production of Dairy Products,2013M10,Butter,000 Tonnes,14.1
Production of Dairy Products,2013M11,Butter,000 Tonnes,10.3
Production of Dairy Products,2013M12,Butter,000 Tonnes,5.5
Production of Dairy Products,2014M01,Butter,000 Tonnes,4.4
Production of Dairy Products,2014M02,Butter,000 Tonnes,6.2
Production of Dairy Products,2014M03,Butter,000 Tonnes,14.4
Production of Dairy Products,2014M04,Butter,000 Tonnes,17.3
Production of Dairy Products,2014M05,Butter,000 Tonnes,21.7
Production of Dairy Products,2014M06,Butter,000 Tonnes,19.6
Production of Dairy Products,2014M07,Butter,000 Tonnes,20.3
Production of Dairy Products,2014M08,Butter,000 Tonnes,17.5
Production of Dairy Products,2014M09,Butter,000 Tonnes,15.7
Production of Dairy Products,2014M10,Butter,000 Tonnes,13.5
Production of Dairy Products,2014M11,Butter,000 Tonnes,9.8
Production of Dairy Products,2014M12,Butter,000 Tonnes,5.9
Production of Dairy Products,2015M01,Butter,000 Tonnes,3.5
Production of Dairy Products,2015M02,Butter,000 Tonnes,6.6
Production of Dairy Products,2015M03,Butter,000 Tonnes,14.8
Production of Dairy Products,2015M04,Butter,000 Tonnes,20.3
Production of Dairy Products,2015M05,Butter,000 Tonnes,22.8
Production of Dairy Products,2015M06,Butter,000 Tonnes,23.2
Production of Dairy Products,2015M07,Butter,000 Tonnes,22.7
Production of Dairy Products,2015M08,Butter,000 Tonnes,20.2
Production of Dairy Products,2015M09,Butter,000 Tonnes,17.2
Production of Dairy Products,2015M10,Butter,000 Tonnes,15.7
Production of Dairy Products,2015M11,Butter,000 Tonnes,12.5
Production of Dairy Products,2015M12,Butter,000 Tonnes,8.1
Production of Dairy Products,2016M01,Butter,000 Tonnes,5
Production of Dairy Products,2016M02,Butter,000 Tonnes,9.3
Production of Dairy Products,2016M03,Butter,000 Tonnes,20.1
Production of Dairy Products,2016M04,Butter,000 Tonnes,21.7
Production of Dairy Products,2016M05,Butter,000 Tonnes,24.4
Production of Dairy Products,2016M06,Butter,000 Tonnes,23.2
Production of Dairy Products,2016M07,Butter,000 Tonnes,20.3
Production of Dairy Products,2016M08,Butter,000 Tonnes,20.3
Production of Dairy Products,2016M09,Butter,000 Tonnes,18.5
Production of Dairy Products,2016M10,Butter,000 Tonnes,15.2
Production of Dairy Products,2016M11,Butter,000 Tonnes,12.5
Production of Dairy Products,2016M12,Butter,000 Tonnes,8.3
Production of Dairy Products,2017M01,Butter,000 Tonnes,5.2
Production of Dairy Products,2017M02,Butter,000 Tonnes,8.5
Production of Dairy Products,2017M03,Butter,000 Tonnes,20.3
Production of Dairy Products,2017M04,Butter,000 Tonnes,24.2
Production of Dairy Products,2017M05,Butter,000 Tonnes,28.3
Production of Dairy Products,2017M06,Butter,000 Tonnes,27
Production of Dairy Products,2017M07,Butter,000 Tonnes,23.9
