Statistic,Month,Type of Fertiliser,UNIT,VALUE
Fertiliser Price,2006M11,Urea (46% N),Euro per Tonne,311
Fertiliser Price,2006M12,Urea (46% N),Euro per Tonne,310
Fertiliser Price,2007M01,Urea (46% N),Euro per Tonne,310
Fertiliser Price,2007M02,Urea (46% N),Euro per Tonne,310
Fertiliser Price,2007M03,Urea (46% N),Euro per Tonne,311
Fertiliser Price,2007M04,Urea (46% N),Euro per Tonne,311
Fertiliser Price,2007M05,Urea (46% N),Euro per Tonne,311
Fertiliser Price,2007M06,Urea (46% N),Euro per Tonne,312
Fertiliser Price,2007M07,Urea (46% N),Euro per Tonne,312
Fertiliser Price,2007M08,Urea (46% N),Euro per Tonne,312
Fertiliser Price,2007M09,Urea (46% N),Euro per Tonne,313
Fertiliser Price,2007M10,Urea (46% N),Euro per Tonne,314
Fertiliser Price,2007M11,Urea (46% N),Euro per Tonne,320
Fertiliser Price,2007M12,Urea (46% N),Euro per Tonne,336
Fertiliser Price,2008M01,Urea (46% N),Euro per Tonne,378
Fertiliser Price,2008M02,Urea (46% N),Euro per Tonne,419
Fertiliser Price,2008M03,Urea (46% N),Euro per Tonne,422
Fertiliser Price,2008M04,Urea (46% N),Euro per Tonne,434
Fertiliser Price,2008M05,Urea (46% N),Euro per Tonne,435
Fertiliser Price,2008M06,Urea (46% N),Euro per Tonne,436
Fertiliser Price,2008M07,Urea (46% N),Euro per Tonne,445
Fertiliser Price,2008M08,Urea (46% N),Euro per Tonne,454
Fertiliser Price,2008M09,Urea (46% N),Euro per Tonne,454
Fertiliser Price,2008M10,Urea (46% N),Euro per Tonne,449
Fertiliser Price,2008M11,Urea (46% N),Euro per Tonne,446
Fertiliser Price,2008M12,Urea (46% N),Euro per Tonne,445
Fertiliser Price,2009M01,Urea (46% N),Euro per Tonne,427
Fertiliser Price,2009M02,Urea (46% N),Euro per Tonne,407
Fertiliser Price,2009M03,Urea (46% N),Euro per Tonne,399
Fertiliser Price,2009M04,Urea (46% N),Euro per Tonne,385
Fertiliser Price,2009M05,Urea (46% N),Euro per Tonne,378
Fertiliser Price,2009M06,Urea (46% N),Euro per Tonne,374
Fertiliser Price,2009M07,Urea (46% N),Euro per Tonne,370
Fertiliser Price,2009M08,Urea (46% N),Euro per Tonne,370
Fertiliser Price,2009M09,Urea (46% N),Euro per Tonne,368
Fertiliser Price,2009M10,Urea (46% N),Euro per Tonne,368
Fertiliser Price,2009M11,Urea (46% N),Euro per Tonne,368
Fertiliser Price,2009M12,Urea (46% N),Euro per Tonne,356
Fertiliser Price,2010M01,Urea (46% N),Euro per Tonne,341
Fertiliser Price,2010M02,Urea (46% N),Euro per Tonne,333
Fertiliser Price,2010M03,Urea (46% N),Euro per Tonne,323
Fertiliser Price,2010M04,Urea (46% N),Euro per Tonne,325
Fertiliser Price,2010M05,Urea (46% N),Euro per Tonne,325
Fertiliser Price,2010M06,Urea (46% N),Euro per Tonne,324
Fertiliser Price,2010M07,Urea (46% N),Euro per Tonne,324
Fertiliser Price,2010M08,Urea (46% N),Euro per Tonne,326
Fertiliser Price,2010M09,Urea (46% N),Euro per Tonne,333
