Statistic,Month,Type of Fertiliser,UNIT,VALUE
Fertiliser Price,2001M06,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,190
Fertiliser Price,2001M07,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,189
Fertiliser Price,2001M08,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,188
Fertiliser Price,2001M09,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,188
Fertiliser Price,2001M10,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,189
Fertiliser Price,2001M11,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,190
Fertiliser Price,2001M12,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,190
Fertiliser Price,2002M01,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,192
Fertiliser Price,2002M02,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,192
Fertiliser Price,2002M03,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,191
Fertiliser Price,2002M04,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,191
Fertiliser Price,2002M05,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,190
Fertiliser Price,2002M06,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,188
Fertiliser Price,2002M07,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,185
Fertiliser Price,2002M08,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,183
Fertiliser Price,2002M09,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,182
Fertiliser Price,2002M10,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,183
Fertiliser Price,2002M11,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,185
Fertiliser Price,2002M12,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,188
Fertiliser Price,2003M01,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,192
Fertiliser Price,2003M02,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,197
Fertiliser Price,2003M03,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,197
Fertiliser Price,2003M04,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,195
Fertiliser Price,2003M05,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,193
Fertiliser Price,2003M06,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,190
Fertiliser Price,2003M07,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,186
Fertiliser Price,2003M08,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,185
Fertiliser Price,2003M09,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,186
Fertiliser Price,2003M10,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,187
Fertiliser Price,2003M11,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,187
Fertiliser Price,2003M12,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,193
Fertiliser Price,2004M01,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,205
Fertiliser Price,2004M02,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,205
Fertiliser Price,2004M03,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,205
Fertiliser Price,2004M04,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,201
Fertiliser Price,2004M05,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,196
Fertiliser Price,2004M06,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,193
Fertiliser Price,2004M07,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,190
Fertiliser Price,2004M08,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,191
Fertiliser Price,2004M09,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,191
Fertiliser Price,2004M10,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,193
Fertiliser Price,2004M11,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,197
Fertiliser Price,2004M12,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,198
Fertiliser Price,2005M01,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,215
