Statistic,Month,Type of Fertiliser,UNIT,VALUE
Fertiliser Price,2003M04,Granular Superphosphate (16% P),Euro per Tonne,270
Fertiliser Price,2003M05,Granular Superphosphate (16% P),Euro per Tonne,270
Fertiliser Price,2003M06,Granular Superphosphate (16% P),Euro per Tonne,266
Fertiliser Price,2003M07,Granular Superphosphate (16% P),Euro per Tonne,265
Fertiliser Price,2003M08,Granular Superphosphate (16% P),Euro per Tonne,269
Fertiliser Price,2003M09,Granular Superphosphate (16% P),Euro per Tonne,269
Fertiliser Price,2003M10,Granular Superphosphate (16% P),Euro per Tonne,266
Fertiliser Price,2003M11,Granular Superphosphate (16% P),Euro per Tonne,265
Fertiliser Price,2003M12,Granular Superphosphate (16% P),Euro per Tonne,265
Fertiliser Price,2004M01,Granular Superphosphate (16% P),Euro per Tonne,279
Fertiliser Price,2004M02,Granular Superphosphate (16% P),Euro per Tonne,277
Fertiliser Price,2004M03,Granular Superphosphate (16% P),Euro per Tonne,275
Fertiliser Price,2004M04,Granular Superphosphate (16% P),Euro per Tonne,274
Fertiliser Price,2004M05,Granular Superphosphate (16% P),Euro per Tonne,274
Fertiliser Price,2004M06,Granular Superphosphate (16% P),Euro per Tonne,274
Fertiliser Price,2004M07,Granular Superphosphate (16% P),Euro per Tonne,273
Fertiliser Price,2004M08,Granular Superphosphate (16% P),Euro per Tonne,273
Fertiliser Price,2004M09,Granular Superphosphate (16% P),Euro per Tonne,273
Fertiliser Price,2004M10,Granular Superphosphate (16% P),Euro per Tonne,270
Fertiliser Price,2004M11,Granular Superphosphate (16% P),Euro per Tonne,271
Fertiliser Price,2004M12,Granular Superphosphate (16% P),Euro per Tonne,271
Fertiliser Price,2005M01,Granular Superphosphate (16% P),Euro per Tonne,277
Fertiliser Price,2005M02,Granular Superphosphate (16% P),Euro per Tonne,279
Fertiliser Price,2005M03,Granular Superphosphate (16% P),Euro per Tonne,280
Fertiliser Price,2005M04,Granular Superphosphate (16% P),Euro per Tonne,279
Fertiliser Price,2005M05,Granular Superphosphate (16% P),Euro per Tonne,277
Fertiliser Price,2005M06,Granular Superphosphate (16% P),Euro per Tonne,280
Fertiliser Price,2005M07,Granular Superphosphate (16% P),Euro per Tonne,275
Fertiliser Price,2005M08,Granular Superphosphate (16% P),Euro per Tonne,275
Fertiliser Price,2005M09,Granular Superphosphate (16% P),Euro per Tonne,273
Fertiliser Price,2005M10,Granular Superphosphate (16% P),Euro per Tonne,273
Fertiliser Price,2005M11,Granular Superphosphate (16% P),Euro per Tonne,273
Fertiliser Price,2005M12,Granular Superphosphate (16% P),Euro per Tonne,277
