Statistic,Month,Product,UNIT,VALUE
Production of Dairy Products,2002M08,Skimmed Milk Powder,000 Tonnes,15.4
Production of Dairy Products,2002M09,Skimmed Milk Powder,000 Tonnes,13.4
Production of Dairy Products,2002M10,Skimmed Milk Powder,000 Tonnes,5
Production of Dairy Products,2002M11,Skimmed Milk Powder,000 Tonnes,1.4
Production of Dairy Products,2002M12,Skimmed Milk Powder,000 Tonnes,2.6
Production of Dairy Products,2003M01,Skimmed Milk Powder,000 Tonnes,1.4
Production of Dairy Products,2003M02,Skimmed Milk Powder,000 Tonnes,2.4
Production of Dairy Products,2003M03,Skimmed Milk Powder,000 Tonnes,7.1
Production of Dairy Products,2003M04,Skimmed Milk Powder,000 Tonnes,9.8
Production of Dairy Products,2003M05,Skimmed Milk Powder,000 Tonnes,13.2
Production of Dairy Products,2003M06,Skimmed Milk Powder,000 Tonnes,12.4
Production of Dairy Products,2003M07,Skimmed Milk Powder,000 Tonnes,11.2
Production of Dairy Products,2003M08,Skimmed Milk Powder,000 Tonnes,8.7
Production of Dairy Products,2003M09,Skimmed Milk Powder,000 Tonnes,5.7
Production of Dairy Products,2003M10,Skimmed Milk Powder,000 Tonnes,3.9
Production of Dairy Products,2003M11,Skimmed Milk Powder,000 Tonnes,1.3
Production of Dairy Products,2003M12,Skimmed Milk Powder,000 Tonnes,1.4
Production of Dairy Products,2004M01,Skimmed Milk Powder,000 Tonnes,1.7
Production of Dairy Products,2004M02,Skimmed Milk Powder,000 Tonnes,1.9
Production of Dairy Products,2004M03,Skimmed Milk Powder,000 Tonnes,4.1
Production of Dairy Products,2004M04,Skimmed Milk Powder,000 Tonnes,8
Production of Dairy Products,2004M05,Skimmed Milk Powder,000 Tonnes,11.7
Production of Dairy Products,2004M06,Skimmed Milk Powder,000 Tonnes,10.2
Production of Dairy Products,2004M07,Skimmed Milk Powder,000 Tonnes,10.8
Production of Dairy Products,2004M08,Skimmed Milk Powder,000 Tonnes,7.5
Production of Dairy Products,2004M09,Skimmed Milk Powder,000 Tonnes,4.7
Production of Dairy Products,2004M10,Skimmed Milk Powder,000 Tonnes,3.1
Production of Dairy Products,2004M11,Skimmed Milk Powder,000 Tonnes,0.8
Production of Dairy Products,2004M12,Skimmed Milk Powder,000 Tonnes,1.4
Production of Dairy Products,2005M01,Skimmed Milk Powder,000 Tonnes,2.1
Production of Dairy Products,2005M02,Skimmed Milk Powder,000 Tonnes,2.8
Production of Dairy Products,2005M03,Skimmed Milk Powder,000 Tonnes,2.6
Production of Dairy Products,2005M04,Skimmed Milk Powder,000 Tonnes,5.9
Production of Dairy Products,2005M05,Skimmed Milk Powder,000 Tonnes,9.8
Production of Dairy Products,2005M06,Skimmed Milk Powder,000 Tonnes,9
Production of Dairy Products,2005M07,Skimmed Milk Powder,000 Tonnes,7.3
Production of Dairy Products,2005M08,Skimmed Milk Powder,000 Tonnes,7
Production of Dairy Products,2005M09,Skimmed Milk Powder,000 Tonnes,4.3
Production of Dairy Products,2005M10,Skimmed Milk Powder,000 Tonnes,2.4
Production of Dairy Products,2005M11,Skimmed Milk Powder,000 Tonnes,
Production of Dairy Products,2005M12,Skimmed Milk Powder,000 Tonnes,1.5
Production of Dairy Products,2006M01,Skimmed Milk Powder,000 Tonnes,2.5
Production of Dairy Products,2006M02,Skimmed Milk Powder,000 Tonnes,2.5
Production of Dairy Products,2006M03,Skimmed Milk Powder,000 Tonnes,3
Production of Dairy Products,2006M04,Skimmed Milk Powder,000 Tonnes,5.5
Production of Dairy Products,2006M05,Skimmed Milk Powder,000 Tonnes,10.4
Production of Dairy Products,2006M06,Skimmed Milk Powder,000 Tonnes,8.7
Production of Dairy Products,2006M07,Skimmed Milk Powder,000 Tonnes,10
Production of Dairy Products,2006M08,Skimmed Milk Powder,000 Tonnes,8.5
Production of Dairy Products,2006M09,Skimmed Milk Powder,000 Tonnes,6.9
Production of Dairy Products,2006M10,Skimmed Milk Powder,000 Tonnes,5.2
Production of Dairy Products,2006M11,Skimmed Milk Powder,000 Tonnes,2.2
Production of Dairy Products,2006M12,Skimmed Milk Powder,000 Tonnes,3.1
Production of Dairy Products,2007M01,Skimmed Milk Powder,000 Tonnes,2.4
Production of Dairy Products,2007M02,Skimmed Milk Powder,000 Tonnes,1.9
Production of Dairy Products,2007M03,Skimmed Milk Powder,000 Tonnes,5
Production of Dairy Products,2007M04,Skimmed Milk Powder,000 Tonnes,10.1
Production of Dairy Products,2007M05,Skimmed Milk Powder,000 Tonnes,13.2
Production of Dairy Products,2007M06,Skimmed Milk Powder,000 Tonnes,14.3
Production of Dairy Products,2007M07,Skimmed Milk Powder,000 Tonnes,12.5
Production of Dairy Products,2007M08,Skimmed Milk Powder,000 Tonnes,8.8
Production of Dairy Products,2007M09,Skimmed Milk Powder,000 Tonnes,5.7
Production of Dairy Products,2007M10,Skimmed Milk Powder,000 Tonnes,4
Production of Dairy Products,2007M11,Skimmed Milk Powder,000 Tonnes,1.8
