Statistic,Month,Type of Milk,UNIT,VALUE
Milk Sales (Dairy) for Human Consumption,2000M05,Skimmed and Semi-skimmed milk,Million Litres,9.3
Milk Sales (Dairy) for Human Consumption,2000M06,Skimmed and Semi-skimmed milk,Million Litres,9
Milk Sales (Dairy) for Human Consumption,2000M07,Skimmed and Semi-skimmed milk,Million Litres,9.2
Milk Sales (Dairy) for Human Consumption,2000M08,Skimmed and Semi-skimmed milk,Million Litres,9.2
Milk Sales (Dairy) for Human Consumption,2000M09,Skimmed and Semi-skimmed milk,Million Litres,9
Milk Sales (Dairy) for Human Consumption,2000M10,Skimmed and Semi-skimmed milk,Million Litres,9.3
Milk Sales (Dairy) for Human Consumption,2000M11,Skimmed and Semi-skimmed milk,Million Litres,8.9
Milk Sales (Dairy) for Human Consumption,2000M12,Skimmed and Semi-skimmed milk,Million Litres,9.1
Milk Sales (Dairy) for Human Consumption,2001M01,Skimmed and Semi-skimmed milk,Million Litres,9.1
Milk Sales (Dairy) for Human Consumption,2001M02,Skimmed and Semi-skimmed milk,Million Litres,8.7
Milk Sales (Dairy) for Human Consumption,2001M03,Skimmed and Semi-skimmed milk,Million Litres,10
Milk Sales (Dairy) for Human Consumption,2001M04,Skimmed and Semi-skimmed milk,Million Litres,9.5
Milk Sales (Dairy) for Human Consumption,2001M05,Skimmed and Semi-skimmed milk,Million Litres,9.7
Milk Sales (Dairy) for Human Consumption,2001M06,Skimmed and Semi-skimmed milk,Million Litres,9.6
Milk Sales (Dairy) for Human Consumption,2001M07,Skimmed and Semi-skimmed milk,Million Litres,9.7
Milk Sales (Dairy) for Human Consumption,2001M08,Skimmed and Semi-skimmed milk,Million Litres,9.9
Milk Sales (Dairy) for Human Consumption,2001M09,Skimmed and Semi-skimmed milk,Million Litres,9.6
Milk Sales (Dairy) for Human Consumption,2001M10,Skimmed and Semi-skimmed milk,Million Litres,10
Milk Sales (Dairy) for Human Consumption,2001M11,Skimmed and Semi-skimmed milk,Million Litres,9.4
Milk Sales (Dairy) for Human Consumption,2001M12,Skimmed and Semi-skimmed milk,Million Litres,9.4
Milk Sales (Dairy) for Human Consumption,2002M01,Skimmed and Semi-skimmed milk,Million Litres,9.9
Milk Sales (Dairy) for Human Consumption,2002M02,Skimmed and Semi-skimmed milk,Million Litres,9.3
Milk Sales (Dairy) for Human Consumption,2002M03,Skimmed and Semi-skimmed milk,Million Litres,10.1
Milk Sales (Dairy) for Human Consumption,2002M04,Skimmed and Semi-skimmed milk,Million Litres,10
Milk Sales (Dairy) for Human Consumption,2002M05,Skimmed and Semi-skimmed milk,Million Litres,10.3
Milk Sales (Dairy) for Human Consumption,2002M06,Skimmed and Semi-skimmed milk,Million Litres,9.8
Milk Sales (Dairy) for Human Consumption,2002M07,Skimmed and Semi-skimmed milk,Million Litres,10.2
Milk Sales (Dairy) for Human Consumption,2002M08,Skimmed and Semi-skimmed milk,Million Litres,10.1
Milk Sales (Dairy) for Human Consumption,2002M09,Skimmed and Semi-skimmed milk,Million Litres,9.9
Milk Sales (Dairy) for Human Consumption,2002M10,Skimmed and Semi-skimmed milk,Million Litres,10.3
Milk Sales (Dairy) for Human Consumption,2002M11,Skimmed and Semi-skimmed milk,Million Litres,9.9
Milk Sales (Dairy) for Human Consumption,2002M12,Skimmed and Semi-skimmed milk,Million Litres,9.5
Milk Sales (Dairy) for Human Consumption,2003M01,Skimmed and Semi-skimmed milk,Million Litres,10.3
Milk Sales (Dairy) for Human Consumption,2003M02,Skimmed and Semi-skimmed milk,Million Litres,9.4
Milk Sales (Dairy) for Human Consumption,2003M03,Skimmed and Semi-skimmed milk,Million Litres,11.3
Milk Sales (Dairy) for Human Consumption,2003M04,Skimmed and Semi-skimmed milk,Million Litres,9.5
Milk Sales (Dairy) for Human Consumption,2003M05,Skimmed and Semi-skimmed milk,Million Litres,10.2
Milk Sales (Dairy) for Human Consumption,2003M06,Skimmed and Semi-skimmed milk,Million Litres,9.8
Milk Sales (Dairy) for Human Consumption,2003M07,Skimmed and Semi-skimmed milk,Million Litres,10.6
Milk Sales (Dairy) for Human Consumption,2003M08,Skimmed and Semi-skimmed milk,Million Litres,10.2
Milk Sales (Dairy) for Human Consumption,2003M09,Skimmed and Semi-skimmed milk,Million Litres,10.4
Milk Sales (Dairy) for Human Consumption,2003M10,Skimmed and Semi-skimmed milk,Million Litres,10.6
Milk Sales (Dairy) for Human Consumption,2003M11,Skimmed and Semi-skimmed milk,Million Litres,9.9
Milk Sales (Dairy) for Human Consumption,2003M12,Skimmed and Semi-skimmed milk,Million Litres,9.9
Milk Sales (Dairy) for Human Consumption,2004M01,Skimmed and Semi-skimmed milk,Million Litres,10.3
Milk Sales (Dairy) for Human Consumption,2004M02,Skimmed and Semi-skimmed milk,Million Litres,9.8
Milk Sales (Dairy) for Human Consumption,2004M03,Skimmed and Semi-skimmed milk,Million Litres,11.4
Milk Sales (Dairy) for Human Consumption,2004M04,Skimmed and Semi-skimmed milk,Million Litres,9.7
Milk Sales (Dairy) for Human Consumption,2004M05,Skimmed and Semi-skimmed milk,Million Litres,10.7
Milk Sales (Dairy) for Human Consumption,2004M06,Skimmed and Semi-skimmed milk,Million Litres,10.5
Milk Sales (Dairy) for Human Consumption,2004M07,Skimmed and Semi-skimmed milk,Million Litres,10.6
Milk Sales (Dairy) for Human Consumption,2004M08,Skimmed and Semi-skimmed milk,Million Litres,10.7
Milk Sales (Dairy) for Human Consumption,2004M09,Skimmed and Semi-skimmed milk,Million Litres,10.6
Milk Sales (Dairy) for Human Consumption,2004M10,Skimmed and Semi-skimmed milk,Million Litres,10.6
Milk Sales (Dairy) for Human Consumption,2004M11,Skimmed and Semi-skimmed milk,Million Litres,10.4
Milk Sales (Dairy) for Human Consumption,2004M12,Skimmed and Semi-skimmed milk,Million Litres,10.5
Milk Sales (Dairy) for Human Consumption,2005M01,Skimmed and Semi-skimmed milk,Million Litres,10.8
Milk Sales (Dairy) for Human Consumption,2005M02,Skimmed and Semi-skimmed milk,Million Litres,10.2
Milk Sales (Dairy) for Human Consumption,2005M03,Skimmed and Semi-skimmed milk,Million Litres,11.7
Milk Sales (Dairy) for Human Consumption,2005M04,Skimmed and Semi-skimmed milk,Million Litres,10.4
Milk Sales (Dairy) for Human Consumption,2005M05,Skimmed and Semi-skimmed milk,Million Litres,11.4
Milk Sales (Dairy) for Human Consumption,2005M06,Skimmed and Semi-skimmed milk,Million Litres,11.1
Milk Sales (Dairy) for Human Consumption,2005M07,Skimmed and Semi-skimmed milk,Million Litres,11.2
Milk Sales (Dairy) for Human Consumption,2005M08,Skimmed and Semi-skimmed milk,Million Litres,11.9
Milk Sales (Dairy) for Human Consumption,2005M09,Skimmed and Semi-skimmed milk,Million Litres,11.5
Milk Sales (Dairy) for Human Consumption,2005M10,Skimmed and Semi-skimmed milk,Million Litres,11.1
Milk Sales (Dairy) for Human Consumption,2005M11,Skimmed and Semi-skimmed milk,Million Litres,11.3
Milk Sales (Dairy) for Human Consumption,2005M12,Skimmed and Semi-skimmed milk,Million Litres,11
Milk Sales (Dairy) for Human Consumption,2006M01,Skimmed and Semi-skimmed milk,Million Litres,11.6
Milk Sales (Dairy) for Human Consumption,2006M02,Skimmed and Semi-skimmed milk,Million Litres,10.8
Milk Sales (Dairy) for Human Consumption,2006M03,Skimmed and Semi-skimmed milk,Million Litres,12.4
Milk Sales (Dairy) for Human Consumption,2006M04,Skimmed and Semi-skimmed milk,Million Litres,11.2
Milk Sales (Dairy) for Human Consumption,2006M05,Skimmed and Semi-skimmed milk,Million Litres,11.7
Milk Sales (Dairy) for Human Consumption,2006M06,Skimmed and Semi-skimmed milk,Million Litres,11.5
Milk Sales (Dairy) for Human Consumption,2006M07,Skimmed and Semi-skimmed milk,Million Litres,11.7
Milk Sales (Dairy) for Human Consumption,2006M08,Skimmed and Semi-skimmed milk,Million Litres,12.6
Milk Sales (Dairy) for Human Consumption,2006M09,Skimmed and Semi-skimmed milk,Million Litres,11.8
Milk Sales (Dairy) for Human Consumption,2006M10,Skimmed and Semi-skimmed milk,Million Litres,12.1
Milk Sales (Dairy) for Human Consumption,2006M11,Skimmed and Semi-skimmed milk,Million Litres,12
Milk Sales (Dairy) for Human Consumption,2006M12,Skimmed and Semi-skimmed milk,Million Litres,11.7
Milk Sales (Dairy) for Human Consumption,2007M01,Skimmed and Semi-skimmed milk,Million Litres,12.3
Milk Sales (Dairy) for Human Consumption,2007M02,Skimmed and Semi-skimmed milk,Million Litres,12.6
Milk Sales (Dairy) for Human Consumption,2007M03,Skimmed and Semi-skimmed milk,Million Litres,12.8
Milk Sales (Dairy) for Human Consumption,2007M04,Skimmed and Semi-skimmed milk,Million Litres,12.1
Milk Sales (Dairy) for Human Consumption,2007M05,Skimmed and Semi-skimmed milk,Million Litres,12.8
Milk Sales (Dairy) for Human Consumption,2007M06,Skimmed and Semi-skimmed milk,Million Litres,12.5
Milk Sales (Dairy) for Human Consumption,2007M07,Skimmed and Semi-skimmed milk,Million Litres,12.7
Milk Sales (Dairy) for Human Consumption,2007M08,Skimmed and Semi-skimmed milk,Million Litres,13.5
Milk Sales (Dairy) for Human Consumption,2007M09,Skimmed and Semi-skimmed milk,Million Litres,13
Milk Sales (Dairy) for Human Consumption,2007M10,Skimmed and Semi-skimmed milk,Million Litres,13.5
Milk Sales (Dairy) for Human Consumption,2007M11,Skimmed and Semi-skimmed milk,Million Litres,13.4
Milk Sales (Dairy) for Human Consumption,2007M12,Skimmed and Semi-skimmed milk,Million Litres,13
Milk Sales (Dairy) for Human Consumption,2008M01,Skimmed and Semi-skimmed milk,Million Litres,13.8
Milk Sales (Dairy) for Human Consumption,2008M02,Skimmed and Semi-skimmed milk,Million Litres,13
Milk Sales (Dairy) for Human Consumption,2008M03,Skimmed and Semi-skimmed milk,Million Litres,13.4
Milk Sales (Dairy) for Human Consumption,2008M04,Skimmed and Semi-skimmed milk,Million Litres,14.1
Milk Sales (Dairy) for Human Consumption,2008M05,Skimmed and Semi-skimmed milk,Million Litres,13.7
Milk Sales (Dairy) for Human Consumption,2008M06,Skimmed and Semi-skimmed milk,Million Litres,13.5
Milk Sales (Dairy) for Human Consumption,2008M07,Skimmed and Semi-skimmed milk,Million Litres,13.7
Milk Sales (Dairy) for Human Consumption,2008M08,Skimmed and Semi-skimmed milk,Million Litres,13.9
Milk Sales (Dairy) for Human Consumption,2008M09,Skimmed and Semi-skimmed milk,Million Litres,13.4
Milk Sales (Dairy) for Human Consumption,2008M10,Skimmed and Semi-skimmed milk,Million Litres,13.7
Milk Sales (Dairy) for Human Consumption,2008M11,Skimmed and Semi-skimmed milk,Million Litres,13.5
